l_freq_filter,h_freq_filter,channels_to_drop,baseline_correction,projectors_to_apply,selected_frequency,tmin,tmax,detrend,reject,flat,ica_to_exclude,scaler,n_components,cov_est,log,model_type,trial_combo,sub_A,sub_C,sub_D,sub_E,sub_F,sub_G,sub_H,sub_J,sub_L
,40,"['AFz', 'F7', 'F8']",,"slice(None, 1, None)",256,1,4.5,,{'eeg': 150},{'eeg': 20},,robust,4,epoch,True,NN,"(1, 4)",0.5283018946647644,0.5147058963775635,0.5068492889404297,0.5857142806053162,0.5249999761581421,0.49295774102211,0.5245901346206665,0.45205479860305786,0.5
,40,"['AFz', 'F7', 'F8']",,"slice(None, 1, None)",256,1,4.5,,{'eeg': 150},{'eeg': 20},,robust,4,epoch,True,NN,"(2, 4)",0.5178571343421936,0.5138888955116272,0.5068492889404297,0.5,0.512499988079071,0.47297295928001404,0.5081967115402222,0.47826087474823,0.5
,40,"['AFz', 'F7', 'F8']",,"slice(None, 1, None)",256,1,4.5,,{'eeg': 150},{'eeg': 20},,robust,4,epoch,True,NN,"(1, 3)",0.5555555820465088,0.5416666865348816,0.5070422291755676,0.5588235259056091,0.5375000238418579,0.5068492889404297,0.5,0.5633803009986877,0.49367088079452515
,40,"['AFz', 'F7', 'F8']",,"slice(None, 1, None)",256,1,4.5,,{'eeg': 150},{'eeg': 20},,robust,4,epoch,True,LDA,"(1, 5)",0.46153846153846156,0.5428571428571428,0.6111111111111112,0.5072463768115942,0.7625,0.5342465753424658,0.5,0.76,0.5128205128205128
,40,"['AFz', 'F7', 'F8']",,"slice(None, 1, None)",256,1,4.5,,{'eeg': 150},{'eeg': 20},,robust,4,epoch,True,LDA,"(1, 4)",0.5185185185185185,0.45588235294117646,0.6027397260273972,0.6285714285714286,0.775,0.5492957746478874,0.4918032786885246,0.7808219178082192,0.5
,40,"['AFz', 'F7', 'F8']",,"slice(None, 1, None)",256,1,4.5,,{'eeg': 150},{'eeg': 20},,robust,4,epoch,True,LDA,"(2, 4)",0.7894736842105263,0.5,0.5205479452054794,0.5285714285714286,0.6375,0.5540540540540541,0.5409836065573771,0.7536231884057971,0.5
,40,"['AFz', 'F7', 'F8']",,"slice(None, 1, None)",256,1,4.5,,{'eeg': 150},{'eeg': 20},,robust,4,epoch,True,LDA,"(1, 3)",0.5370370370370371,0.5694444444444444,0.7323943661971831,0.4852941176470588,0.675,0.547945205479452,0.7931034482758621,0.5857142857142857,0.5063291139240507
,40,"['AFz', 'F7', 'F8']",,"slice(None, 1, None)",256,1,4.5,,{'eeg': 150},{'eeg': 20},,robust,4,epoch,False,NN,"(1, 5)",0.5192307829856873,0.5285714268684387,0.5,0.49275362491607666,0.574999988079071,0.3561643958091736,0.5423728823661804,0.8133333325386047,0.5128205418586731
,40,"['AFz', 'F7', 'F8']",,"slice(None, 1, None)",256,1,4.5,,{'eeg': 150},{'eeg': 20},,robust,4,epoch,False,NN,"(1, 4)",0.6000000238418579,0.5147058963775635,0.5068492889404297,0.5,0.5874999761581421,0.5070422291755676,0.508474588394165,0.465753436088562,0.5
,40,"['AFz', 'F7', 'F8']",,"slice(None, 1, None)",256,1,4.5,,{'eeg': 150},{'eeg': 20},,robust,4,epoch,False,NN,"(2, 4)",0.508474588394165,0.5138888955116272,0.4931506812572479,0.5,0.4625000059604645,0.4864864945411682,0.5,0.52173912525177,0.5
,40,"['AFz', 'F7', 'F8']",,"slice(None, 1, None)",256,1,4.5,,{'eeg': 150},{'eeg': 20},,robust,4,epoch,False,NN,"(1, 3)",0.5370370149612427,0.5416666865348816,0.577464759349823,0.4852941036224365,0.5,0.4931506812572479,0.2586206793785095,0.5714285969734192,0.5063291192054749
,40,"['AFz', 'F7', 'F8']",,"slice(None, 1, None)",256,1,4.5,,{'eeg': 150},{'eeg': 20},,robust,4,epoch,False,LDA,"(1, 5)",0.49056603773584906,0.5571428571428572,0.6111111111111112,0.5072463768115942,0.75,0.547945205479452,0.5172413793103449,0.76,0.5128205128205128
,40,"['AFz', 'F7', 'F8']",,"slice(None, 1, None)",256,1,4.5,,{'eeg': 150},{'eeg': 20},,robust,4,epoch,False,LDA,"(1, 4)",0.5272727272727272,0.4852941176470588,0.589041095890411,0.5571428571428572,0.7,0.49295774647887325,0.4915254237288136,0.7808219178082192,0.5
,40,"['AFz', 'F7', 'F8']",,"slice(None, 1, None)",256,1,4.5,,{'eeg': 150},{'eeg': 20},,robust,4,epoch,False,LDA,"(2, 4)",0.8305084745762712,0.5277777777777778,0.5342465753424658,0.5428571428571428,0.5625,0.5,0.5245901639344263,0.8,0.5
,40,"['AFz', 'F7', 'F8']",,"slice(None, 1, None)",256,1,4.5,,{'eeg': 150},{'eeg': 20},,robust,4,epoch,False,LDA,"(1, 3)",0.5,0.5416666666666666,0.7183098591549296,0.4852941176470588,0.6375,0.4931506849315068,0.7758620689655172,0.5428571428571428,0.5063291139240507
,40,"['AFz', 'F7', 'F8']",,"slice(None, 1, None)",256,1,4.5,,{'eeg': 150},{'eeg': 20},,robust,12,concat,True,NN,"(1, 5)",0.4716981053352356,0.4714285731315613,0.6805555820465088,0.5797101259231567,0.4749999940395355,0.534246563911438,0.5,0.5733333230018616,0.5128205418586731
