l_freq_filter,h_freq_filter,channels_to_drop,baseline_correction,projectors_to_apply,selected_frequency,tmin,tmax,detrend,reject,flat,"(1, 5)","(2, 4)","(1, 3)"
0.1,40,"['AFz', 'F7', 'F6']",,"slice(1, 5, None)",256,0.0,2.0,,,,0.5299999713897705,0.508571445941925,0.5414285659790039
0.1,40,"['AFz', 'F7', 'F6']",,"slice(1, 5, None)",256,0.0,4.5,,,,0.5442857146263123,0.5142857432365417,0.5514285564422607
0.1,40,"['AFz', 'F7', 'F6']",,"slice(1, 5, None)",256,0.3,2.0,,,,0.5185714364051819,0.5,0.5157142877578735
0.1,40,"['AFz', 'F7', 'F6']",,"slice(1, 5, None)",256,0.3,4.5,,,,0.5414285659790039,0.5385714173316956,0.5542857050895691
0.1,40,"['AFz', 'F7', 'F6']",,"slice(1, 5, None)",128,0.0,2.0,,,,0.5014285445213318,0.5114285945892334,0.522857129573822
0.1,40,"['AFz', 'F7', 'F6']",,"slice(1, 5, None)",128,0.0,4.5,,,,0.508571445941925,0.5199999809265137,0.5371428728103638
0.1,40,"['AFz', 'F7', 'F6']",,"slice(1, 5, None)",128,0.3,2.0,,,,0.5071428418159485,0.5028571486473083,0.5057142972946167
0.1,40,"['AFz', 'F7', 'F6']",,"slice(1, 5, None)",128,0.3,4.5,,,,0.5414285659790039,0.5257142782211304,0.5400000214576721
0.1,40,"['AFz', 'F7', 'F6']",,"slice(1, 5, None)",64,0.0,2.0,,,,0.5257142782211304,0.522857129573822,0.5271428823471069
0.1,40,"['AFz', 'F7', 'F6']",,"slice(1, 5, None)",64,0.0,4.5,,,,0.5028571486473083,0.5242857336997986,0.5357142686843872
0.1,40,"['AFz', 'F7', 'F6']",,"slice(1, 5, None)",64,0.3,2.0,,,,0.5171428322792053,0.5071428418159485,0.5157142877578735
0.1,40,"['AFz', 'F7', 'F6']",,"slice(1, 5, None)",64,0.3,4.5,,,,0.5242857336997986,0.5285714268684387,0.5257142782211304
0.1,40,"['AFz', 'F7', 'F6']","(None, 0)","slice(None, 1, None)",256,0.0,2.0,,,,0.5328571200370789,0.5199999809265137,0.5171428322792053
0.1,40,"['AFz', 'F7', 'F6']","(None, 0)","slice(None, 1, None)",256,0.0,4.5,,,,0.5757142901420593,0.5799999833106995,0.5757142901420593
0.1,40,"['AFz', 'F7', 'F6']","(None, 0)","slice(None, 1, None)",256,0.3,2.0,,,,0.5514285564422607,0.5057142972946167,0.5428571701049805
0.1,40,"['AFz', 'F7', 'F6']","(None, 0)","slice(None, 1, None)",256,0.3,4.5,,,,0.572857141494751,0.5828571319580078,0.5885714292526245
0.1,40,"['AFz', 'F7', 'F6']","(None, 0)","slice(None, 1, None)",128,0.0,2.0,,,,0.5114285945892334,0.5271428823471069,0.5328571200370789
0.1,40,"['AFz', 'F7', 'F6']","(None, 0)","slice(None, 1, None)",128,0.0,4.5,,,,0.5685714483261108,0.5671428442001343,0.5485714077949524
0.1,40,"['AFz', 'F7', 'F6']","(None, 0)","slice(None, 1, None)",128,0.3,2.0,,,,0.5400000214576721,0.5514285564422607,0.5357142686843872
0.1,40,"['AFz', 'F7', 'F6']","(None, 0)","slice(None, 1, None)",128,0.3,4.5,,,,0.5685714483261108,0.5699999928474426,0.5771428346633911
0.1,40,"['AFz', 'F7', 'F6']","(None, 0)","slice(None, 1, None)",64,0.0,2.0,,,,0.5028571486473083,0.5185714364051819,0.5099999904632568
0.1,40,"['AFz', 'F7', 'F6']","(None, 0)","slice(None, 1, None)",64,0.0,4.5,,,,0.5528571605682373,0.5542857050895691,0.5257142782211304
0.1,40,"['AFz', 'F7', 'F6']","(None, 0)","slice(None, 1, None)",64,0.3,2.0,,,,0.5257142782211304,0.5257142782211304,0.558571457862854
0.1,40,"['AFz', 'F7', 'F6']","(None, 0)","slice(None, 1, None)",64,0.3,4.5,,,,0.550000011920929,0.5557143092155457,0.5185714364051819
0.1,40,"['AFz', 'F7', 'F6']","(None, 0)","slice(1, 2, None)",256,0.0,2.0,,,,0.5199999809265137,0.5242857336997986,0.5385714173316956
0.1,40,"['AFz', 'F7', 'F6']","(None, 0)","slice(1, 2, None)",256,0.0,4.5,,,,0.550000011920929,0.5299999713897705,0.5557143092155457
0.1,40,"['AFz', 'F7', 'F6']","(None, 0)","slice(1, 2, None)",256,0.3,2.0,,,,0.5099999904632568,0.5114285945892334,0.5057142972946167
0.1,40,"['AFz', 'F7', 'F6']","(None, 0)","slice(1, 2, None)",256,0.3,4.5,,,,0.558571457862854,0.5342857241630554,0.5685714483261108
0.1,40,"['AFz', 'F7', 'F6']","(None, 0)","slice(1, 2, None)",128,0.0,2.0,,,,0.5099999904632568,0.4985714256763458,0.5299999713897705
0.1,40,"['AFz', 'F7', 'F6']","(None, 0)","slice(1, 2, None)",128,0.0,4.5,,,,0.5328571200370789,0.5400000214576721,0.550000011920929
0.1,40,"['AFz', 'F7', 'F6']","(None, 0)","slice(1, 2, None)",128,0.3,2.0,,,,0.4985714256763458,0.5028571486473083,0.5099999904632568
0.1,40,"['AFz', 'F7', 'F6']","(None, 0)","slice(1, 2, None)",128,0.3,4.5,,,,0.558571457862854,0.5328571200370789,0.5442857146263123
0.1,40,"['AFz', 'F7', 'F6']","(None, 0)","slice(1, 2, None)",64,0.0,2.0,,,,0.5271428823471069,0.5142857432365417,0.5371428728103638
